app_id,genre
10,Action
100,Action
10090,Action
1016920,Action
1016920,Casual
1016920,Indie
1017180,Action
1017180,Adventure
1017180,Casual
1017180,Indie
1017180,Simulation
1017180,Early Access
10180,Action
10190,Action
102500,Action
102500,RPG
102600,Action
102600,Indie
102600,Strategy
1029690,Action
1029690,Adventure
1030830,Action
1030830,Adventure
1030840,Action
1030840,Adventure
1044720,Indie
1044720,Simulation
1044720,Strategy
1044720,Early Access
1046930,Casual
1046930,Strategy
1046930,Free To Play
1049410,Action
1049410,Adventure
1049590,Indie
1049590,Strategy
1049590,Free To Play
10500,Strategy
105450,Simulation
105450,Strategy
105600,Action
105600,Adventure
105600,Indie
105600,RPG
1056640,Action
1056640,Massively Multiplayer
1056640,RPG
1056640,Free To Play
1056960,Action
1057090,Action
1057240,Action
1057240,Free To Play
1058020,Action
1061910,Action
1061910,Adventure
1063730,Action
1063730,Adventure
1063730,Massively Multiplayer
1063730,RPG
10680,Action
107100,Action
107100,Indie
107100,RPG
107410,Action
107410,Simulation
107410,Strategy
1085660,Action
1085660,Adventure
1085660,Free To Play
108600,Indie
108600,RPG
108600,Simulation
108600,Early Access
1086940,Adventure
1086940,RPG
1086940,Strategy
108710,Action
108710,Adventure
108800,Action
1089090,Action
1089350,Simulation
1089350,Sports
1089980,Adventure
1089980,Casual
1089980,Indie
1091500,RPG
1092790,Adventure
1092790,Indie
1092790,Strategy
1094520,Adventure
1094520,Indie
1094520,RPG
1094520,Strategy
109600,Action
109600,Adventure
109600,Massively Multiplayer
109600,RPG
109600,Free To Play
1097150,Action
1097150,Casual
1097150,Indie
1097150,Massively Multiplayer
1097150,Sports
1100600,Simulation
1100600,Sports
11020,Racing
110800,Adventure
110800,Strategy
1113000,RPG
1116170,Action
1116170,Adventure
1116170,Indie
1116170,RPG
1118200,Action
1118200,Casual
1118200,Indie
1118200,Simulation
1128810,Casual
1128810,Strategy
1128810,Free To Play
1129580,Action
1129580,Adventure
1129580,Indie
1129580,RPG
1129580,Simulation
113020,Action
113020,Adventure
113020,Casual
113020,Indie
113020,Strategy
113200,Action
113200,Adventure
113200,Indie
113200,RPG
113400,Action
113400,Massively Multiplayer
113400,Free To Play
113420,Free To Play
113420,Massively Multiplayer
113420,RPG
1139900,Action
1142710,Action
1142710,Strategy
1144200,Action
1144200,Adventure
1144200,Indie
1145350,Action
1145350,Indie
1145350,RPG
1145350,Early Access
1145360,Action
1145360,Indie
1145360,RPG
1147550,Adventure
1147550,Indie
1147550,Simulation
1147560,Action
1147560,Indie
1150690,Adventure
1150690,Indie
1150690,RPG
1151340,RPG
1151640,Action
1151640,Adventure
1151640,RPG
115300,Action
1158310,RPG
1158310,Simulation
1158310,Strategy
1167630,Action
1167630,Indie
1167630,Simulation
1167630,Strategy
1172380,Action
1172380,Adventure
1172470,Action
1172470,Adventure
1172470,Free To Play
1172620,Action
1172620,Adventure
1174180,Action
1174180,Adventure
1178830,Action
1178830,Indie
1184370,Action
1184370,Adventure
1184370,Indie
1184370,RPG
1184370,Strategy
1190000,Racing
1190000,Simulation
1196590,Action
1203220,Action
1203220,Adventure
1203220,Massively Multiplayer
1203620,Action
1203620,Adventure
1203620,Indie
1203620,RPG
1203620,Early Access
12100,Action
12110,Action
1211020,Action
1211020,Adventure
1211020,Casual
1211020,Indie
1211020,Simulation
1211020,Early Access
12120,Action
1213210,Strategy
1217060,Action
1217060,Adventure
1217060,Indie
1217060,RPG
12200,Action
12200,Adventure
12210,Action
12210,Adventure
12220,Action
1222140,Action
1222140,Adventure
1222670,Adventure
1222670,Casual
1222670,Simulation
1222670,Free To Play
1222680,Action
1222680,Adventure
1222680,Racing
1222680,Sports
1222700,Action
1222700,Adventure
1222700,Indie
1225330,Simulation
1225330,Sports
1229490,Action
1229490,Indie
1229490,Early Access
1237950,Action
1237950,Adventure
1237970,Action
1238810,Action
1238820,Action
1238840,Action
1238840,Massively Multiplayer
1238860,Action
1240440,Action
1240440,Free To Play
1241100,Action
1241100,Indie
1241100,Massively Multiplayer
1241100,Free To Play
1241100,Early Access
1245620,Action
1245620,RPG
1248130,Simulation
1250410,Simulation
1254120,Action
1254120,Massively Multiplayer
1254120,RPG
1254120,Free To Play
1259420,Action
1259420,Adventure
1260320,Action
1260320,Casual
1260320,Indie
1262350,Action
1262350,Adventure
