app_id,tag
10,Action
10,FPS
10,Multiplayer
10,Shooter
10,Classic
10,Team-Based
10,First-Person
10,Competitive
10,Tactical
10,1990's
10,e-sports
10,PvP
10,Old School
10,Military
10,Strategy
10,Survival
10,Score Attack
10,1980s
10,Assassin
10,Nostalgia
100,Action
100,FPS
100,Shooter
100,Multiplayer
100,First-Person
100,Classic
100,Singleplayer
100,Tactical
100,Team-Based
100,Competitive
100,Strategy
100,Online Co-Op
100,Military
100,Masterpiece
100,Adventure
100,Survival
100,Atmospheric
100,Open World
100,Simulation
100,Dark
10090,Zombies
10090,World War II
10090,FPS
10090,Multiplayer
10090,Action
10090,Shooter
10090,Singleplayer
10090,Co-op
10090,First-Person
10090,Moddable
10090,War
10090,Online Co-Op
10090,Gore
10090,Historical
10090,Classic
10090,Survival
10090,Great Soundtrack
10090,Horror
10090,Tanks
10090,Adventure
1016920,Multiplayer
1016920,Co-op
1016920,Online Co-Op
1016920,Local Co-Op
1016920,Casual
1016920,Trains
1016920,Local Multiplayer
1016920,Action
1016920,Procedural Generation
1016920,Indie
1016920,4 Player Local
1016920,Voxel
1016920,Family Friendly
1016920,Funny
1016920,Survival
1016920,Isometric
1016920,Controller
1016920,Cute
1016920,Competitive
1016920,Pixel Graphics
1017180,Driving
1017180,Open World
1017180,Multiplayer
1017180,Survival
1017180,Automobile Sim
1017180,Exploration
1017180,Post-apocalyptic
1017180,Adventure
1017180,First-Person
1017180,Racing
1017180,Simulation
1017180,Shooter
1017180,Singleplayer
1017180,Horror
1017180,Early Access
1017180,Sexual Content
1017180,Indie
1017180,Casual
1017180,Realistic
1017180,Psychological Horror
10180,Action
10180,FPS
10180,Multiplayer
10180,Shooter
10180,First-Person
10180,Singleplayer
10180,War
10180,Military
10180,Co-op
10180,Online Co-Op
10180,PvP
10180,Great Soundtrack
10180,Story Rich
10180,Atmospheric
10180,Controller
10180,Adventure
10180,Tactical
10180,Linear
10180,Strategy
10180,Moddable
10190,Action
10190,FPS
10190,Multiplayer
10190,Shooter
10190,First-Person
10190,Singleplayer
10190,War
10190,Military
10190,Co-op
10190,Online Co-Op
10190,PvP
10190,Masterpiece
10190,Great Soundtrack
10190,Story Rich
10190,Atmospheric
10190,Adventure
10190,Tactical
10190,Strategy
10190,Linear
10190,Moddable
102500,RPG
102500,Fantasy
102500,Open World
102500,Singleplayer
102500,Action RPG
102500,Action
102500,Adventure
102500,Third Person
102500,Loot
102500,Story Rich
102500,Magic
102500,Character Customization
102500,Hack and Slash
102500,Exploration
102500,Controller
102500,Sandbox
102500,Atmospheric
102500,Crafting
102500,Female Protagonist
102500,Great Soundtrack
102600,Tower Defense
102600,Action
102600,Strategy
102600,Third Person
102600,Fantasy
102600,Indie
102600,Singleplayer
102600,Comedy
102600,Funny
102600,Third-Person Shooter
102600,Cartoony
102600,Magic
102600,Great Soundtrack
102600,Multiplayer
102600,Score Attack
102600,Addictive
102600,Shooter
102600,Adventure
102600,RPG
102600,Arcade
1029690,Singleplayer
1029690,Sniper
1029690,Stealth
1029690,Multiplayer
1029690,Action
1029690,World War II
1029690,Co-op
1029690,Shooter
1029690,Third-Person Shooter
1029690,Adventure
1029690,Gore
1029690,Third Person
1029690,Violent
1029690,Action-Adventure
1029690,Open World
1029690,Online Co-Op
1029690,War
1029690,FPS
1029690,Gun Customization
1029690,Sexual Content
1030830,Action
1030830,Adventure
1030830,Crime
1030830,Open World
1030830,Story Rich
1030830,Sexual Content
1030830,Nudity
1030830,Violent
1030830,Singleplayer
1030830,Third Person
1030830,Third-Person Shooter
1030830,Gore
1030830,Noir
1030830,Shooter
1030830,Atmospheric
1030830,Great Soundtrack
1030830,Mature
1030830,Classic
1030830,Action-Adventure
